production_id,title,url,season_id,season_label,start_year
10336,Bottomland,https://www.ibdb.com/broadway-production/bottomland-10336,1029,1927-1928,1927
10337,Padlocks of 1927,https://www.ibdb.com/broadway-production/padlocks-of-1927-10337,1029,1927-1928,1927
10338,Madame X,https://www.ibdb.com/broadway-production/madame-x-10338,1029,1927-1928,1927
444423,Africana [1927],https://www.ibdb.com/broadway-production/africana-1927-444423,1029,1927-1928,1927
10340,Rang Tang,https://www.ibdb.com/broadway-production/rang-tang-10340,1029,1927-1928,1927
10341,Kiss Me!,https://www.ibdb.com/broadway-production/kiss-me-10341,1029,1927-1928,1927
10342,The Mating Season,https://www.ibdb.com/broadway-production/the-mating-season-10342,1029,1927-1928,1927
10344,Allez-oop,https://www.ibdb.com/broadway-production/allez-oop-10344,1029,1927-1928,1927
10343,The Manhatters,https://www.ibdb.com/broadway-production/the-manhatters-10343,1029,1927-1928,1927
10345,Tenth Avenue,https://www.ibdb.com/broadway-production/tenth-avenue-10345,1029,1927-1928,1927
10346,Babies a la Carte,https://www.ibdb.com/broadway-production/babies-a-la-carte-10346,1029,1927-1928,1927
10347,Ziegfeld Follies of 1927,https://www.ibdb.com/broadway-production/ziegfeld-follies-of-1927-10347,1029,1927-1928,1927
10348,A la Carte,https://www.ibdb.com/broadway-production/a-la-carte-10348,1029,1927-1928,1927
10349,What the Doctor Ordered,https://www.ibdb.com/broadway-production/what-the-doctor-ordered-10349,1029,1927-1928,1927
10350,Footlights,https://www.ibdb.com/broadway-production/footlights-10350,1029,1927-1928,1927
10351,Blood Money,https://www.ibdb.com/broadway-production/blood-money-10351,1029,1927-1928,1927
10352,Her First Affaire,https://www.ibdb.com/broadway-production/her-first-affaire-10352,1029,1927-1928,1927
10353,Such Is Life,https://www.ibdb.com/broadway-production/such-is-life-10353,1029,1927-1928,1927
10354,Burlesque,https://www.ibdb.com/broadway-production/burlesque-10354,1029,1927-1928,1927
10355,Pickwick,https://www.ibdb.com/broadway-production/pickwick-10355,1029,1927-1928,1927
10356,Mister Romeo,https://www.ibdb.com/broadway-production/mister-romeo-10356,1029,1927-1928,1927
10357,In Abraham's Bosom,https://www.ibdb.com/broadway-production/in-abrahams-bosom-10357,1029,1927-1928,1927
10358,Good News,https://www.ibdb.com/broadway-production/good-news-10358,1029,1927-1928,1927
10359,Women Go On Forever,https://www.ibdb.com/broadway-production/women-go-on-forever-10359,1029,1927-1928,1927
10360,Yellow Sands,https://www.ibdb.com/broadway-production/yellow-sands-10360,1029,1927-1928,1927
10361,Revelry,https://www.ibdb.com/broadway-production/revelry-10361,1029,1927-1928,1927
10362,Baby Cyclone,https://www.ibdb.com/broadway-production/baby-cyclone-10362,1029,1927-1928,1927
10363,My Maryland,https://www.ibdb.com/broadway-production/my-maryland-10363,1029,1927-1928,1927
10364,Half a Widow,https://www.ibdb.com/broadway-production/half-a-widow-10364,1029,1927-1928,1927
10365,The Wild Man of Borneo,https://www.ibdb.com/broadway-production/the-wild-man-of-borneo-10365,1029,1927-1928,1927
10366,Ten Per Cent,https://www.ibdb.com/broadway-production/ten-per-cent-10366,1029,1927-1928,1927
10367,The Triumphant Bachelor,https://www.ibdb.com/broadway-production/the-triumphant-bachelor-10367,1029,1927-1928,1927
10368,The Mikado,https://www.ibdb.com/broadway-production/the-mikado-10368,1029,1927-1928,1927
10369,Four Walls,https://www.ibdb.com/broadway-production/four-walls-10369,1029,1927-1928,1927
10370,The Trial of Mary Dugan,https://www.ibdb.com/broadway-production/the-trial-of-mary-dugan-10370,1029,1927-1928,1927
10371,Enchanted Isle,https://www.ibdb.com/broadway-production/enchanted-isle-10371,1029,1927-1928,1927
10372,Lovers and Enemies,https://www.ibdb.com/broadway-production/lovers-and-enemies-10372,1029,1927-1928,1927
10373,The Command to Love,https://www.ibdb.com/broadway-production/the-command-to-love-10373,1029,1927-1928,1927
10374,Creoles,https://www.ibdb.com/broadway-production/creoles-10374,1029,1927-1928,1927
10375,The Letter,https://www.ibdb.com/broadway-production/the-letter-10375,1029,1927-1928,1927
10376,Manhattan Mary,https://www.ibdb.com/broadway-production/manhattan-mary-10376,1029,1927-1928,1927
10377,The Merry Malones,https://www.ibdb.com/broadway-production/the-merry-malones-10377,1029,1927-1928,1927
10378,The Shannons of Broadway,https://www.ibdb.com/broadway-production/the-shannons-of-broadway-10378,1029,1927-1928,1927
10379,Speak Easy,https://www.ibdb.com/broadway-production/speak-easy-10379,1029,1927-1928,1927
10380,Jimmie's Women,https://www.ibdb.com/broadway-production/jimmies-women-10380,1029,1927-1928,1927
10453,The Garden of Eden,https://www.ibdb.com/broadway-production/the-garden-of-eden-10453,1029,1927-1928,1927
10454,Black Velvet,https://www.ibdb.com/broadway-production/black-velvet-10454,1029,1927-1928,1927
10455,The Uninvited Guest,https://www.ibdb.com/broadway-production/the-uninvited-guest-10455,1029,1927-1928,1927
10456,Murray Hill,https://www.ibdb.com/broadway-production/murray-hill-10456,1029,1927-1928,1927
10457,The House of Women,https://www.ibdb.com/broadway-production/the-house-of-women-10457,1029,1927-1928,1927
10458,An Enemy of the People,https://www.ibdb.com/broadway-production/an-enemy-of-the-people-10458,1029,1927-1928,1927
10459,Sidewalks of New York,https://www.ibdb.com/broadway-production/sidewalks-of-new-york-10459,1029,1927-1928,1927
10460,"Yes, Yes, Yvette",https://www.ibdb.com/broadway-production/yes-yes-yvette-10460,1029,1927-1928,1927
10461,Romancin' Round,https://www.ibdb.com/broadway-production/romancin-round-10461,1029,1927-1928,1927
10462,Hidden,https://www.ibdb.com/broadway-production/hidden-10462,1029,1927-1928,1927
10463,Dracula,https://www.ibdb.com/broadway-production/dracula-10463,1029,1927-1928,1927
10464,Jacob Slovak,https://www.ibdb.com/broadway-production/jacob-slovak-10464,1029,1927-1928,1927
10465,My Princess,https://www.ibdb.com/broadway-production/my-princess-10465,1029,1927-1928,1927
10466,High Gear,https://www.ibdb.com/broadway-production/high-gear-10466,1029,1927-1928,1927
7875,Chauve-Souris [1927],https://www.ibdb.com/broadway-production/chauve-souris-1927-7875,1029,1927-1928,1927
7876,The Five O'Clock Girl,https://www.ibdb.com/broadway-production/the-five-oclock-girl-7876,1029,1927-1928,1927
10467,Porgy,https://www.ibdb.com/broadway-production/porgy-10467,1029,1927-1928,1927
10468,Synthetic Sin,https://www.ibdb.com/broadway-production/synthetic-sin-10468,1029,1927-1928,1927
7877,The 19th Hole,https://www.ibdb.com/broadway-production/the-19th-hole-7877,1029,1927-1928,1927
7878,White Lights,https://www.ibdb.com/broadway-production/white-lights-7878,1029,1927-1928,1927
7879,Just Fancy,https://www.ibdb.com/broadway-production/just-fancy-7879,1029,1927-1928,1927
7880,The Springboard,https://www.ibdb.com/broadway-production/the-springboard-7880,1029,1927-1928,1927
7881,The Matrimonial Bed,https://www.ibdb.com/broadway-production/the-matrimonial-bed-7881,1029,1927-1928,1927
7882,Skin Deep,https://www.ibdb.com/broadway-production/skin-deep-7882,1029,1927-1928,1927
7883,Out of the Night,https://www.ibdb.com/broadway-production/out-of-the-night-7883,1029,1927-1928,1927
7884,Interference,https://www.ibdb.com/broadway-production/interference-7884,1029,1927-1928,1927
7885,The Good Hope,https://www.ibdb.com/broadway-production/the-good-hope-7885,1029,1927-1928,1927
7886,The Ivory Door,https://www.ibdb.com/broadway-production/the-ivory-door-7886,1029,1927-1928,1927
7887,Weather Clear-Track Fast,https://www.ibdb.com/broadway-production/weather-clear-track-fast-7887,1029,1927-1928,1927
7888,Love in the Tropics,https://www.ibdb.com/broadway-production/love-in-the-tropics-7888,1029,1927-1928,1927
7889,The Belt,https://www.ibdb.com/broadway-production/the-belt-7889,1029,1927-1928,1927
7890,The Love Call,https://www.ibdb.com/broadway-production/the-love-call-7890,1029,1927-1928,1927
10469,If,https://www.ibdb.com/broadway-production/if-10469,1029,1927-1928,1927
10470,The Taming of the Shrew,https://www.ibdb.com/broadway-production/the-taming-of-the-shrew-10470,1029,1927-1928,1927
10471,The Wasp's Nest,https://www.ibdb.com/broadway-production/the-wasps-nest-10471,1029,1927-1928,1927
10472,Escape,https://www.ibdb.com/broadway-production/escape-10472,1029,1927-1928,1927
10473,The Mulberry Bush,https://www.ibdb.com/broadway-production/the-mulberry-bush-10473,1029,1927-1928,1927
10474,Immoral Isabella?,https://www.ibdb.com/broadway-production/immoral-isabella-10474,1029,1927-1928,1927
10475,Behold This Dreamer,https://www.ibdb.com/broadway-production/behold-this-dreamer-10475,1029,1927-1928,1927
10476,The Arabian,https://www.ibdb.com/broadway-production/the-arabian-10476,1029,1927-1928,1927
10477,Ink,https://www.ibdb.com/broadway-production/ink-10477,1029,1927-1928,1927
10478,Take My Advice,https://www.ibdb.com/broadway-production/take-my-advice-10478,1029,1927-1928,1927
10479,John,https://www.ibdb.com/broadway-production/john-10479,1029,1927-1928,1927
10480,A Connecticut Yankee,https://www.ibdb.com/broadway-production/a-connecticut-yankee-10480,1029,1927-1928,1927
10481,The Wicked Age,https://www.ibdb.com/broadway-production/the-wicked-age-10481,1029,1927-1928,1927
10482,The Fanatics,https://www.ibdb.com/broadway-production/the-fanatics-10482,1029,1927-1928,1927
10483,The Stairs,https://www.ibdb.com/broadway-production/the-stairs-10483,1029,1927-1928,1927
13124,La Bohème,https://www.ibdb.com/broadway-production/la-boheme-13124,1029,1927-1928,1927
10484,Coquette,https://www.ibdb.com/broadway-production/coquette-10484,1029,1927-1928,1927
529629,Rigoletto,https://www.ibdb.com/broadway-production/rigoletto-529629,1029,1927-1928,1927
10485,And So To Bed,https://www.ibdb.com/broadway-production/and-so-to-bed-10485,1029,1927-1928,1927
529633,Madame Butterfly,https://www.ibdb.com/broadway-production/madame-butterfly-529633,1029,1927-1928,1927
10486,Nightstick,https://www.ibdb.com/broadway-production/nightstick-10486,1029,1927-1928,1927
529635,Faust,https://www.ibdb.com/broadway-production/faust-529635,1029,1927-1928,1927
529636,La Traviata,https://www.ibdb.com/broadway-production/la-traviata-529636,1029,1927-1928,1927
529638,Martha,https://www.ibdb.com/broadway-production/martha-529638,1029,1927-1928,1927
529640,Aida,https://www.ibdb.com/broadway-production/aida-529640,1029,1927-1928,1927
10487,Spellbound,https://www.ibdb.com/broadway-production/spellbound-10487,1029,1927-1928,1927
10488,The Marquise,https://www.ibdb.com/broadway-production/the-marquise-10488,1029,1927-1928,1927
10489,New York,https://www.ibdb.com/broadway-production/new-york-10489,1029,1927-1928,1927
10490,Iolanthe,https://www.ibdb.com/broadway-production/iolanthe-10490,1029,1927-1928,1927
529643,La Tosca,https://www.ibdb.com/broadway-production/la-tosca-529643,1029,1927-1928,1927
10491,Artists and Models [1927],https://www.ibdb.com/broadway-production/artists-and-models-1927-10491,1029,1927-1928,1927
10492,Tia Juana,https://www.ibdb.com/broadway-production/tia-juana-10492,1029,1927-1928,1927
529645,La Forza del Destino,https://www.ibdb.com/broadway-production/la-forza-del-destino-529645,1029,1927-1928,1927
10493,The King Can Do No Wrong,https://www.ibdb.com/broadway-production/the-king-can-do-no-wrong-10493,1029,1927-1928,1927
529647,Carmen,https://www.ibdb.com/broadway-production/carmen-529647,1029,1927-1928,1927
10494,A Midsummer Night's Dream,https://www.ibdb.com/broadway-production/a-midsummer-nights-dream-10494,1029,1927-1928,1927
529648,Cavalleria Rusticana,https://www.ibdb.com/broadway-production/cavalleria-rusticana-529648,1029,1927-1928,1927
10495,Much Ado About Nothing,https://www.ibdb.com/broadway-production/much-ado-about-nothing-10495,1029,1927-1928,1927
529650,The Barber of Seville,https://www.ibdb.com/broadway-production/the-barber-of-seville-529650,1029,1927-1928,1927
529651,Il Trovatore,https://www.ibdb.com/broadway-production/il-trovatore-529651,1029,1927-1928,1927
10496,The Doctor's Dilemma,https://www.ibdb.com/broadway-production/the-doctors-dilemma-10496,1029,1927-1928,1927
10497,The Racket,https://www.ibdb.com/broadway-production/the-racket-10497,1029,1927-1928,1927
10498,Funny Face,https://www.ibdb.com/broadway-production/funny-face-10498,1029,1927-1928,1927
