performer_id,degree
A_114765,330
A_33173,330
A_53582,330
A_38429,329
A_95573,329
A_52138,329
A_77550,328
A_97102,328
A_54143,328
A_57935,328
A_61761,327
A_63812,327
A_53064,327
A_77179,327
A_67890,327
A_68384,327
A_36357,326
A_69002,326
A_56082,326
A_65127,326
A_14727,326
A_39581,324
A_33690,324
A_67745,324
A_7209,324
A_14135,324
A_68315,324
A_53556,324
A_44067,324
A_387361,324
A_113377,323
A_62628,323
A_413330,323
A_14314,323
A_97075,322
A_62150,322
A_67417,322
A_114436,321
A_118702,321
A_116003,321
A_35456,321
A_113501,320
A_45022,320
A_57507,320
A_114242,320
A_30794,320
A_114051,320
A_59889,320
A_58341,320
A_35504,320
A_105854,320
A_35877,319
A_15484,319
A_45316,319
A_58161,319
A_56976,319
A_88198,319
A_64649,319
A_57283,319
A_79190,319
A_67159,318
A_45026,318
A_56521,318
A_40217,318
A_56086,318
A_64008,318
A_36237,318
A_85175,318
A_51862,318
A_99466,317
A_100198,317
A_56467,317
A_92408,317
A_58425,317
A_63759,317
A_14636,316
A_65436,316
A_64550,316
A_116140,316
A_113298,316
A_73895,316
A_48051,315
A_44725,315
A_54776,315
A_113295,315
A_99459,315
A_81123,315
A_51167,315
A_115126,314
A_47173,314
A_40763,314
A_46237,314
A_68189,314
A_78033,314
A_54619,314
A_60293,313
A_34982,313
A_50328,313
A_61215,313
A_46145,313
A_15236,313
A_62149,313
A_48451,313
A_93167,313
A_68888,313
A_51624,312
A_59472,312
A_62497,312
A_113408,312
A_56047,312
A_42670,312
A_54286,312
A_37149,312
A_116002,311
A_65066,311
A_68270,311
A_98418,311
A_41177,311
A_8858,311
A_99483,310
A_53686,310
A_38687,309
A_16305,309
A_115922,309
A_79188,309
A_113411,309
A_442575,309
A_94373,309
A_57348,308
A_39687,308
A_58760,308
A_68651,308
A_67680,308
A_41229,308
A_422768,308
A_67409,307
A_32569,307
A_59941,307
A_51674,307
A_60342,307
A_115757,307
A_114552,307
A_67393,307
A_61138,306
A_56195,306
A_75098,306
A_36880,306
A_92410,306
A_39789,306
A_34891,306
A_68761,305
A_67863,305
A_54440,305
A_46586,305
A_425994,305
A_47784,305
A_49117,305
A_50112,304
A_113134,304
A_99506,303
A_49235,303
A_64821,303
A_57302,303
A_67790,303
A_48046,303
A_114102,303
A_113713,303
A_111279,303
A_43144,302
A_68063,302
A_95589,302
A_37558,302
A_58000,302
A_38755,302
A_378017,302
A_99512,302
A_113709,302
A_62493,302
A_53672,301
A_55879,301
A_48001,301
A_69004,301
A_44606,300
A_57000,300
A_45650,300
A_65713,300
A_37224,299
A_68946,299
A_37672,299
A_47056,299
