source,target,weight,layout_weight
A_48949,A_103563,3,1.3862943611198906
A_48949,A_103566,3,1.3862943611198906
A_48949,A_479777,3,1.3862943611198906
A_48949,A_88902,2,1.0986122886681098
A_48949,A_479195,3,1.3862943611198906
A_48949,A_103569,2,1.0986122886681098
A_48949,A_479794,2,1.0986122886681098
A_48949,A_81091,3,1.3862943611198906
A_48949,A_89002,3,1.3862943611198906
A_48949,A_103564,3,1.3862943611198906
A_48949,A_103561,3,1.3862943611198906
A_48949,A_103576,2,1.0986122886681098
A_48949,A_479792,3,1.3862943611198906
A_48949,A_479784,3,1.3862943611198906
A_48949,A_479787,3,1.3862943611198906
A_48949,A_479789,3,1.3862943611198906
A_48949,A_103573,3,1.3862943611198906
A_48949,A_103572,2,1.0986122886681098
A_48949,A_103548,3,1.3862943611198906
A_48949,A_103570,3,1.3862943611198906
A_48949,A_103560,3,1.3862943611198906
A_48949,A_479782,3,1.3862943611198906
A_48949,A_479791,3,1.3862943611198906
A_48949,A_479783,3,1.3862943611198906
A_48949,A_479779,3,1.3862943611198906
A_48949,A_103565,3,1.3862943611198906
A_48949,A_57362,3,1.3862943611198906
A_48949,A_479786,3,1.3862943611198906
A_48949,A_479780,3,1.3862943611198906
A_48949,A_479775,3,1.3862943611198906
A_48949,A_95131,3,1.3862943611198906
A_48949,A_103562,2,1.0986122886681098
A_48949,A_479790,3,1.3862943611198906
A_48949,A_96594,3,1.3862943611198906
A_48949,A_479785,3,1.3862943611198906
A_48949,A_81094,2,1.0986122886681098
A_48949,A_99483,3,1.3862943611198906
A_48949,A_456421,3,1.3862943611198906
A_48949,A_479793,3,1.3862943611198906
A_48949,A_103568,3,1.3862943611198906
A_48949,A_479788,3,1.3862943611198906
A_48949,A_103545,3,1.3862943611198906
A_48949,A_103571,2,1.0986122886681098
A_48949,A_410813,3,1.3862943611198906
A_48949,A_103575,2,1.0986122886681098
A_48949,A_479776,3,1.3862943611198906
A_48949,A_103567,3,1.3862943611198906
