id,x,y
A_473388,-422.6298828125,81.46881866455078
A_34408,-422.284423828125,81.56552124023438
A_473389,-374.1018981933594,180.2129669189453
A_35813,-421.83831787109375,81.15261840820312
A_438924,-422.685302734375,80.69867706298828
A_38456,-195.8225555419922,-232.60690307617188
A_473393,-422.53985595703125,80.17774200439453
A_40212,-422.052734375,81.3983154296875
A_473392,-422.7998962402344,80.26119995117188
A_44844,-422.5137939453125,81.59209442138672
A_44850,-423.007568359375,80.91824340820312
A_47021,-421.9439697265625,81.8439712524414
A_473391,-422.05328369140625,80.91984558105469
A_68108,-374.6662902832031,179.27406311035156
A_51687,-423.3272399902344,80.60433959960938
A_383059,-408.4376220703125,56.2369384765625
A_469146,-421.6893005371094,81.0805435180664
A_473390,-423.3454895019531,80.40714263916016
A_55267,-422.26898193359375,80.74034881591797
A_56426,-422.4968566894531,80.77523040771484
A_473394,-423.2146301269531,81.48351287841797
A_61919,-422.2123107910156,81.256103515625
A_62457,-422.1803283691406,80.24183654785156
A_64622,-423.22613525390625,81.13880920410156
A_4857,-422.3184814453125,80.58311462402344
A_113194,-406.581298828125,2.7355363368988037
A_65829,-416.3757019042969,67.34614562988281
A_31355,-137.23495483398438,-305.76007080078125
A_98424,-134.08941650390625,-299.46270751953125
A_421056,-132.93280029296875,-297.4053039550781
A_115851,-62.240535736083984,-220.61770629882812
A_33693,-136.0238800048828,-305.2039794921875
A_33700,-298.6497802734375,75.91956329345703
A_67001,-136.900634765625,-305.18157958984375
A_421209,-136.43150329589844,-305.12384033203125
A_473403,-136.27574157714844,-305.8800048828125
A_425205,-127.65190124511719,-285.529052734375
A_473401,-136.4288787841797,-305.3333435058594
A_473404,-284.3387145996094,-250.5991668701172
A_115752,-130.8870086669922,-291.5574645996094
A_473400,-135.87142944335938,-305.1612548828125
A_40068,-136.4019317626953,-304.8198547363281
A_410255,-136.0147705078125,-305.99658203125
A_67516,-136.56536865234375,-305.5891418457031
A_473397,-137.27670288085938,-305.19866943359375
A_37023,-136.2247772216797,-304.88531494140625
A_395615,-136.55792236328125,-304.58636474609375
A_473399,-136.95895385742188,-305.6766357421875
A_115126,-130.633056640625,-261.6512756347656
A_98418,-62.28899383544922,-220.93499755859375
A_114343,-66.27962493896484,-239.63742065429688
A_43283,-136.66650390625,-305.92999267578125
A_440619,-186.81167602539062,-239.72593688964844
A_46844,-143.5341796875,-326.32000732421875
A_48159,-243.1796112060547,-258.3948974609375
A_423855,-136.5922088623047,-304.8764343261719
A_48915,-136.82342529296875,-306.09844970703125
A_98425,-137.17811584472656,-305.8786315917969
A_473398,-136.13771057128906,-305.340087890625
A_115559,-136.2780303955078,-304.6585693359375
A_51161,-136.91200256347656,-304.9612731933594
A_51486,-136.9918670654297,-305.2777404785156
A_98382,-61.92475509643555,-221.61940002441406
A_415908,-135.9258270263672,-305.519775390625
A_438934,-136.98448181152344,-305.4058532714844
A_473402,-136.69615173339844,-305.33660888671875
A_473406,-136.4976043701172,-305.62872314453125
A_56972,-136.81082153320312,-304.70654296875
A_58170,-107.72114562988281,-284.28839111328125
A_438935,-135.9851837158203,-304.7413635253906
A_68658,-294.7037048339844,-231.03256225585938
A_473407,-136.22982788085938,-305.532958984375
A_58770,-7.762574672698975,-302.9523010253906
A_59961,-137.12281799316406,-304.80267333984375
A_60368,-136.31304931640625,-305.1724853515625
A_60456,-135.81863403320312,-304.6273498535156
A_473408,-136.66709899902344,-305.07403564453125
A_62395,-136.4211883544922,-305.8721923828125
A_62836,-136.1673126220703,-304.2513732910156
A_64520,-225.28773498535156,-282.3121643066406
A_64649,-143.58023071289062,-326.08837890625
A_64967,-136.85281372070312,-305.50213623046875
A_473405,-136.1165008544922,-305.0307312011719
A_32994,16.626108169555664,-83.65595245361328
A_34380,26.98858642578125,-97.22956848144531
A_35181,4.664713382720947,-113.1112289428711
A_36548,-133.24395751953125,55.750083923339844
A_41493,17.343557357788086,-97.2982406616211
A_42511,-14.268136978149414,-16.08049774169922
A_44826,-16.2945613861084,38.590660095214844
A_47155,-18.046504974365234,23.50223731994629
A_68044,-89.66939544677734,-141.41534423828125
A_50294,20.350475311279297,-100.8663558959961
A_52170,41.123138427734375,63.46182632446289
A_53469,-124.23284912109375,-116.35004425048828
A_34107,-76.9389419555664,64.82307434082031
A_58661,16.92825698852539,-97.58882141113281
A_61395,18.91428565979004,-90.94564819335938
A_63763,15.541078567504883,45.14522933959961
A_16539,-41.06062698364258,-142.62918090820312
A_444448,-413.4371643066406,63.093849182128906
A_30996,-377.2197265625,23.6427001953125
A_31231,-412.58856201171875,63.483341217041016
A_31463,-413.76922607421875,63.50975036621094
A_444445,-414.2745056152344,62.69529724121094
A_444450,-385.9730529785156,139.03089904785156
A_444449,-413.72454833984375,62.705352783203125
A_444447,-414.60003662109375,63.01128387451172
A_444446,-413.97637939453125,63.46765899658203
A_38400,-413.67498779296875,63.053104400634766
A_444440,-414.82183837890625,63.30284881591797
A_42451,-411.73162841796875,58.93674850463867
A_42452,-414.3752746582031,63.8930549621582
A_444441,-414.2808532714844,63.62716293334961
A_432493,-414.634033203125,64.61298370361328
A_118088,-414.4803161621094,64.13910675048828
A_112288,-413.5658264160156,62.80590057373047
A_4545,-413.1833801269531,63.04697799682617
A_444439,-413.57794189453125,63.44412612915039
A_57800,-413.716064453125,63.88273239135742
A_444451,-413.0414123535156,57.907413482666016
A_444452,-413.9284973144531,63.143157958984375
A_444442,-414.1396179199219,63.050865173339844
A_41025,-415.1418762207031,64.33020782470703
A_64186,-362.6020202636719,83.3985824584961
A_444436,-414.393310546875,63.2492790222168
A_444453,-413.7563781738281,63.70355987548828
A_444435,-413.8371887207031,63.066829681396484
A_444454,-413.1725158691406,63.33918380737305
A_30953,-40.44144821166992,-234.74964904785156
A_31287,-284.4792175292969,-249.6038818359375
A_38505,-417.0484924316406,70.3070068359375
A_543550,-373.6656188964844,179.44766235351562
A_44638,-416.85076904296875,70.5601806640625
A_438981,-417.2578430175781,68.60506439208984
A_46701,-414.8826904296875,68.44795227050781
A_46718,-416.8470458984375,69.84190368652344
A_46740,-416.5523681640625,70.0279769897461
A_47145,-417.3975830078125,69.27812194824219
A_29131,-417.51092529296875,70.92020416259766
A_50932,-416.5054016113281,70.13349914550781
A_51091,-417.9738464355469,70.65729522705078
A_13600,-417.7208557128906,70.27660369873047
A_56551,-416.8544616699219,70.32418060302734
A_57546,-416.9964294433594,71.05584716796875
A_61298,-414.8616027832031,68.90623474121094
A_62204,-417.2334899902344,69.7620849609375
