id,x,y
A_397431,-414.39329136773677,-6937.534606008578
A_397555,-384.9584860414917,-6989.434916225835
A_98377,-537.4598019222881,-6974.576827737155
A_98386,-356.8524503762906,-7078.97943472902
A_37301,-388.4418138030678,-7048.15922402022
A_37778,-562.0029773006688,-6898.673127385191
A_37812,-689.9943840883028,-6939.021554493423
A_397447,-547.2546671139885,-7005.328820643066
A_397448,-437.79129806280764,-6883.3866058939575
A_397430,-478.22177945000334,-7045.288454986689
A_395839,-652.8497627973526,-6750.5358473615615
A_397428,-415.17332803673827,-6922.5049695966
A_39273,-367.76235853336624,-7091.5135687264265
A_39757,-691.9366831385069,-6657.219368245599
A_40090,-401.2729620016119,-7017.527755669828
A_397422,-542.9474455329885,-6927.701377527785
A_397562,-672.9741557197915,-6918.909470203074
A_41001,-451.13769928854595,-7092.259610303072
A_41150,-373.831792158418,-7061.877416051279
A_113483,-724.5251946769455,-6990.60918434642
A_41648,-1004.0639355876143,-6364.317086611837
A_97795,-976.9938286796528,-6708.198153447427
A_397572,-350.60477960647734,-6967.748242340546
A_42394,-557.4157277805922,-6931.2528989386565
A_98393,-409.7635419451584,-7112.091827088536
A_397441,-439.24827422762957,-7236.582987742526
A_397539,-353.39623517702717,-7113.236555089259
A_397434,-517.9136172625327,-6963.381741056474
A_397537,-455.9003697385668,-6884.811600134502
A_44682,-961.9232553423743,-6337.47999340172
A_45215,-359.3129428969029,-7072.02969070863
A_45579,-443.5769360721612,-7027.700768735652
A_439083,-501.47176747852967,-7014.827388643025
A_397548,-535.3350178327887,-6923.877955292439
A_98405,-371.9756081551115,-6907.819436532979
A_397556,-593.9148818130914,-6876.215005969927
A_397436,-379.4025472632164,-7091.569689426717
A_397446,-352.2012497120133,-7087.248039923756
A_397557,-332.5681456632989,-7099.631807804208
A_114184,-697.0622505168129,-6755.030966613347
A_115561,-366.2434672683438,-6978.596333819062
A_397427,-428.2333011015629,-7015.65702454587
A_397536,-414.9619482364965,-6940.596681325559
A_98387,-341.33359286902976,-7079.731079175419
A_49381,-385.85662645996706,-7001.510239817114
A_397425,-463.6398409581732,-7054.926723093912
A_397440,-331.27757199406466,-7058.245123385748
A_68142,-1199.323603979656,-5994.090662799364
A_397552,-472.1037416082896,-7059.8874748969465
A_115677,-594.9300642252125,-6872.0637613880135
A_397544,-404.47368683828313,-7084.251098024568
A_68294,-899.9799536291788,-6642.405541233639
A_53197,-563.8606389527963,-6758.531615014895
A_98372,-470.2167564354139,-6996.917202293513
A_115933,-650.8510696158187,-6614.771481196942
A_397538,-328.28546523212054,-6822.380414775397
A_397423,-428.6099313920452,-6901.431445914383
A_397451,-387.88238572119707,-6944.1901796057355
A_115918,-680.3830035157495,-7008.2017072685085
A_397444,-523.8615118924268,-7062.531627179225
A_54934,-427.95838369630064,-6861.357349473442
A_98385,-865.2231611909317,-6727.071009563961
A_55770,-535.6796323368563,-6925.70640890617
A_117964,-1135.185736887546,-6410.819503370372
A_397558,-548.3184173725346,-6788.134581067774
A_397530,-407.0951432534975,-6889.4550192654115
A_397541,-439.6341521688041,-6947.67826121968
A_56502,-485.1458653873945,-7006.564113908492
A_439085,-386.8088685748001,-7045.323309668814
A_397545,-394.0842677188186,-6959.594449729839
A_397559,-396.09118628966166,-6949.5575317560715
A_397560,-308.83530287327164,-7104.785302496433
A_397534,-392.8449783689574,-7065.996499676341
A_397561,-601.9710440312845,-6964.312802102194
A_397543,-698.6465363568344,-6915.476590301657
A_98384,-930.214834638284,-6422.723267388348
A_58776,-365.2988168378714,-6988.166045726232
A_383839,-649.1382477947859,-6920.44461522732
A_397547,-884.9550684900915,-7084.620312106782
A_397553,-548.0048194117413,-6990.231965998353
A_397424,-370.6127904971657,-7102.642061886586
A_59893,-553.0859631334297,-7033.377652305197
A_459199,-518.9897429585077,-7086.687274220077
A_397437,-362.0091781380754,-7147.189963294031
A_397550,-430.7355199523511,-6909.036666757183
A_397442,-399.33628936044124,-6957.004818415424
A_114533,-520.1349633102722,-6956.5811446746775
A_76958,-739.984417310657,-6766.023727715864
A_397549,-702.8365126178323,-6990.005743407705
A_61961,-662.1570028880644,-7034.84033647669
A_68903,-757.151586007138,-6840.501408109691
A_397426,-416.1992646894322,-6968.5781167464775
A_62927,-768.8182833120351,-6636.439134218861
A_115555,-365.54719951592887,-7021.483020035351
A_117947,-753.1596276573925,-6716.925686595354
A_98388,-412.8228821940154,-6984.047938791898
A_397531,-419.6697594457658,-6955.1140925103655
A_387116,-675.0675470478271,-6891.4177363187755
A_98413,-460.15154905752473,-6812.142172145494
A_397532,-441.40098355791054,-7051.208288487701
A_32132,-149.4868450694936,-6741.311763093677
A_528746,-209.59411489199678,-6573.738982021407
A_528748,-189.03254631087134,-6724.636141036369
A_45021,-1056.161241073528,-6691.173222232898
A_46267,-1369.7021712531628,-5952.250053029474
A_441256,-472.6508454646727,-6741.44579868361
A_472781,-174.62959570118522,-6678.285489548965
A_52458,-180.34211516346892,-6758.159037466794
A_58070,-157.0994193585755,-6643.651587796501
A_114836,-879.6273123355015,-7301.380768719565
A_59287,-368.87520165232786,-7003.545794836337
A_116049,-158.0607752011022,-6749.220786668869
A_65658,-601.4481835296375,-6618.430768840806
A_29260,-1703.8162966841605,-5973.2086096163
A_29725,-1190.489692088111,-6479.663447938364
A_32378,-880.0251159960748,-6635.685976663826
A_35997,-1795.2307806268493,-5587.199639912778
A_37978,-1451.5633876422826,-6725.065704397667
A_42179,-1576.6636554746347,-6937.967292583417
A_42896,-1555.2966999126334,-6001.228604867495
A_6035,-1299.2250986647896,-6370.427865322031
A_45895,-1516.6183006002686,-7006.74113737298
A_15172,-1447.0834391130209,-6189.562112195587
A_47061,-1828.2493003691077,-6017.138516405113
A_48059,-1621.134310627104,-6044.493371450747
A_67991,-1277.96183689304,-6814.802503164136
A_49291,-1717.7181411298754,-6950.150452241596
A_65892,-1795.6886613743425,-5732.961653541545
A_439167,-1516.2950378119042,-7259.607188494979
A_439166,-1433.2359978680959,-7210.287338678219
A_439168,-1579.5954307711197,-7452.348155993878
A_37869,-1530.3171630872998,-7429.994298349703
A_439161,-1652.1299637461148,-7365.788427769505
A_439162,-1781.5461807478166,-7306.139165880357
A_439169,-1375.717407200221,-7156.487099693248
A_439164,-1523.6845359787299,-7324.218655047212
A_439165,-1594.2086896488333,-7225.82857019439
A_48498,-1715.1085263168732,-7398.359291149295
A_49042,-1511.4167738495064,-7570.141237593678
A_49931,-1567.8168320627858,-7248.8988471648245
A_439160,-1680.2638833629867,-7306.550829255231
A_68475,-1972.3608395472045,-5418.21104161338
A_55414,-1431.4672447202458,-7540.595543788558
A_58589,-1726.545407754798,-7245.164035438662
A_59512,-1538.6508559391857,-7392.114185221748
A_59740,-1368.354345331023,-6877.600166035514
A_59924,-1563.6433644106198,-7229.056001870191
A_68778,-1520.4233999295136,-6032.098119475079
A_61570,-1622.1887496161796,-6738.493421402917
A_62277,-1652.1948910260264,-7317.779490105389
A_16340,-1727.1046706188686,-7223.31663288278
A_63755,-1535.3126388739788,-7299.798938502196
A_63797,-1745.2750437383047,-7374.332528491874
A_439163,-1310.652297576471,-7441.891013209821
A_64691,-1622.045344644661,-7251.442596083773
A_65227,-1619.6819661551403,-7427.971274029853
A_14109,-1598.7668481387288,-6205.669321504835
A_33060,-1466.9206795085531,-6375.604751847783
A_34944,-2307.9544541295786,-6516.21002718121
A_36865,-2287.6982631657947,-6518.651934082691
A_67250,-1666.039461250182,-6063.048833241576
A_52173,-1891.1382918594165,-5681.852983307076
A_8875,-1983.1498978954892,-5319.306731620543
A_54513,-1551.6105292491422,-6602.870790210157
A_56464,-1810.689483369951,-5394.281750366631
A_68726,-1657.5539878041375,-6069.12543805928
A_21139,-1778.9841225955533,-4608.38782779321
A_9717,-1735.1311914432129,-6063.870153919065
A_68184,-3032.5884672888974,-2793.4106514161103
A_63385,-2647.2538164908833,-5141.980279846371
A_65201,-1581.6868393625323,-6081.170974051947
A_29516,-1531.4720517112949,-6491.2875194076405
A_50531,-1618.8766484994578,-7377.308702718555
A_34695,-1476.424583842015,-6636.645743794891
A_38285,-2098.1680836144574,-7126.747509629488
A_41630,-1667.315948618966,-6621.7760886065
A_46908,-1798.9980513003084,-6182.015607824672
A_41731,-1701.7667355082926,-6389.376394704822
A_57474,-1936.5861819704382,-5795.316949754212
A_58077,-1492.0214227765046,-7216.683246072812
A_59946,-2108.727583268511,-5975.508530514463
A_60720,-1395.964361352467,-7222.673896503007
A_115587,-1060.8119383785468,-7117.723281997078
A_66963,-1577.0813274904722,-6088.457363197462
A_33837,-1392.8009710248575,-6469.091895126355
A_115744,-1482.4618360434306,-6782.472501065864
A_37642,-1222.5439400995397,-6787.470144138857
A_37721,-1056.9035835268862,-7004.160930219505
A_38674,-759.0977593217489,-6787.953698096757
A_40758,-972.7903933976293,-6724.210328655113
A_115742,-1399.1622999702083,-7172.7914968056275
A_45372,-1536.8553420764563,-6216.013349068165
A_115743,-1063.406294379004,-7125.4979208039285
A_115740,-1137.3625266458284,-6725.777886622571
A_12052,-843.0091104661916,-6914.713260412798
A_115746,-1279.8104708666285,-7047.43975500733
A_53032,-889.0524006714213,-6523.318958693988
A_8060,-1636.5202669096188,-5847.766953882974
A_115741,-781.6605632347846,-6491.804031725258
A_22132,-1272.73806383898,-6665.874357359277
A_60876,-1554.2818883623377,-6883.675283190393
A_68879,-1774.0298574641208,-6063.938251063877
A_115745,-1185.7449523178427,-6961.749066148518
A_65198,-1225.9733783070317,-6065.915375832601
A_29917,-1760.9621781504568,-5884.486886568259
A_66978,-2142.100402460269,-4698.9638285309575
A_36847,-1316.0352073057304,-5867.037426939053
A_439315,-1291.4737713167447,-5530.792234467343
A_38734,-1906.6507124382238,-5843.913088870762
A_39314,-1389.2330995525058,-5645.702650011003
A_439291,-1715.345107703458,-5767.171473356546
A_439300,-1287.7472983111513,-5625.426292241754
A_44625,-1710.7752074944638,-5950.893449557897
A_46947,-1480.271000694467,-6046.869134895392
A_7945,-1747.5534773851755,-5803.509115930924
A_439292,-1581.932187357722,-5794.127287393785
A_52546,-1394.346941194936,-5967.986516168587
A_53077,-1456.8009571900293,-6151.1464296665745
A_55762,-2443.0617006783923,-4015.105453305891
A_56289,-1777.3327703662644,-5795.104401431472
A_439290,-1195.7321524872427,-5570.0700259780415
A_439324,-1268.226727382333,-5780.342335384508
A_58212,-1497.171578664221,-6262.672298976704
A_439321,-1466.706745643041,-5551.887605993778
A_61119,-1719.3616400080382,-5824.58456711298
A_62018,-1391.4950806366273,-5928.490581407997
A_68999,-1739.9584175296,-5835.887500065644
A_439296,-1213.216509545189,-5772.562292327358
A_65141,-1549.4079007744622,-5577.047846765676
A_66799,-1517.1485903985663,-6399.572736326365
A_35021,-1020.7681270093947,-6013.024823508011
A_35885,-1319.6758567079432,-6056.833840186832
A_41592,-1098.0117263814939,-6473.471304900676
A_43082,-943.9907072187749,-6744.252742421946
A_63541,-852.9003105587391,-5967.378097761654
A_79440,-1676.1158603703277,-5980.674512977931
A_49932,-975.4532848786974,-5886.642001994739
A_68137,-804.3520685735391,-6139.2935304303555
A_68311,-877.3391342655661,-5932.724138857133
A_6496,-1778.5122909347892,-5562.534620615874
A_55432,-640.8292581491901,-6153.337949668557
A_62628,-1655.4745116276604,-5736.549583932127
A_37868,-1971.3723962376419,-6659.99611041061
A_38710,-1793.2227822534535,-6306.037373361503
A_43016,-2166.8327205802557,-6959.207460545276
A_45154,-1938.4752330332033,-6317.8913204508435
A_56860,-1258.980469468223,-6302.701639136208
A_49012,-2416.4899997816765,-6599.592390608256
A_52152,-2018.0680665432963,-6010.854648142264
A_53270,-2195.907316404022,-5756.4401849632195
A_53924,-2406.9879068357964,-6723.900494856913
A_65206,-2129.1657097016114,-5791.173979614866
A_421785,-593.9716365655605,-6859.496684824901
A_387021,-1016.6779775850354,-6970.791594788498
A_421788,-574.8111280420776,-6729.862861285608
A_32541,-1168.0250192682818,-6188.40111519867
A_98414,-960.168916757791,-6594.27324083998
A_384255,-946.1275724675887,-6871.854561017775
A_34756,-1002.6482368536784,-6739.537493826149
A_36477,-879.8463309187557,-6829.896689183708
A_36549,-1147.4386366677045,-6366.753717965741
A_92412,-873.3330366617287,-6944.054959099464
A_37568,-1020.1327542728496,-6534.9878525168015
A_115988,-821.8986879389435,-6450.229307919979
A_421787,-603.22351535728,-6496.135445837136
A_421550,-653.5164231645628,-6890.094363483598
A_421794,-764.3074361011872,-6798.245685756615
A_115991,-1058.7589468986432,-6534.3707520869175
A_14704,-1173.2048343938695,-6216.278673836616
A_41347,-643.1723391048473,-6526.791711323334
A_41836,-853.2970390339253,-6933.327279351654
A_421792,-680.870252768648,-6924.9360122013495
A_41914,-931.6013937922804,-6737.666545312709
A_421795,-768.0924093484989,-6879.206556548815
A_42826,-1024.3827308864918,-6945.4409470110795
A_98423,-677.5614610780439,-6684.23681417659
A_113864,-1073.0330408860666,-6629.479049309954
A_421782,-704.775257433505,-6856.955495606253
A_47177,-803.4936361697623,-6913.901725206907
A_115989,-891.085341413626,-6502.067732170195
A_421796,-912.0037482153585,-6950.317976340465
A_113299,-1004.8248595439528,-6668.553345079294
A_49092,-981.0030325264388,-6648.065702689279
A_92408,-987.2148531526046,-6532.104186107787
A_502399,-952.2351605305856,-6711.582132911587
A_92391,-799.0300984508209,-6506.7853088084585
A_98396,-861.8335837379184,-6506.3531743202275
A_421793,-816.3250878730988,-6586.131613697156
A_421786,-630.8471077403495,-6523.283506740497
A_52035,-840.2807332173244,-6565.54885452704
A_52069,-917.4202318522997,-6763.376036836559
A_421790,-978.1062976049011,-6732.133769467338
A_421783,-1035.5211853922233,-6772.426333522994
A_421789,-997.1863206179397,-6958.465676436964
A_54926,-1082.9533640883824,-6609.71087328472
A_421784,-801.190198457719,-6957.098330016851
A_116003,-977.4714616223824,-6834.179059022091
A_55836,-829.1593667242123,-6873.119887320813
A_57293,-1155.8867548593792,-6447.418286073401
A_115301,-660.4879683569318,-6462.160612555998
A_57650,-1184.0992780521476,-6189.258750201645
A_116004,-987.4096320539968,-6567.5193166659
A_98417,-692.631177062016,-6516.310743017968
A_59797,-1504.9797878033144,-5774.130306194762
A_60025,-888.8006343180015,-6880.863280656624
A_92407,-963.5701656247961,-6498.631182147677
A_62441,-1442.4981249776984,-5665.293495884553
A_421791,-881.459428632309,-6869.766597844484
A_63218,-920.1976190473271,-6891.537124029703
A_92409,-939.6243359467642,-6521.145932518972
A_113829,-1117.4661113936186,-6644.653774353009
A_98409,-977.3980945268112,-6577.495963577195
A_65906,-702.6694220231483,-6785.752820102312
A_32399,-1339.0103661845462,-6266.830270731388
A_34200,-1482.6093962821217,-6032.708993107721
A_41017,-1630.8239441530116,-5893.826647972791
