id,x,y,size
A_473388,166.4471435546875,214.48338317871097,11.01509144483409
A_34408,166.1085662841797,213.78335571289065,11.01509144483409
A_473389,-31.22362518310547,227.4007568359375,14.95490761498801
A_35813,166.48403930664062,214.7471923828125,11.01509144483409
A_438924,167.099853515625,214.46530151367188,11.01509144483409
A_38456,291.49761962890625,-183.2698211669922,13.881596295162517
A_473393,166.58811950683594,214.1839904785156,11.01509144483409
A_40212,166.89556884765625,213.91160583496097,11.01509144483409
A_473392,166.83154296875,214.22911071777344,11.01509144483409
A_44844,167.01168823242188,213.64646911621097,11.01509144483409
A_44850,166.3889923095703,213.6847686767578,11.01509144483409
A_47021,166.76290893554688,215.04324340820312,11.01509144483409
A_473391,166.2318878173828,214.69908142089844,11.01509144483409
A_68108,-31.428590774536133,226.8160400390625,14.95490761498801
A_51687,166.48805236816406,213.8723602294922,11.01509144483409
A_383059,186.10142517089844,192.4345245361328,14.729962022715913
A_469146,167.07510375976562,215.300048828125,11.01509144483409
A_473390,165.9815216064453,213.892822265625,11.01509144483409
A_55267,166.17306518554688,214.4770965576172,11.01509144483409
A_56426,166.30133056640625,214.24420166015625,11.01509144483409
A_473394,167.38404846191406,214.02210998535156,11.01509144483409
A_61919,166.70687866210938,213.64195251464844,11.01509144483409
A_62457,166.6696014404297,214.79383850097656,11.01509144483409
A_64622,166.65567016601562,214.5769500732422,11.01509144483409
A_4857,166.94163513183594,214.43836975097656,11.01509144483409
A_113194,201.78477478027344,188.1389617919922,16.031794623935625
A_65829,163.3901824951172,202.39340209960935,13.845840274614421
A_31355,312.1825866699219,-151.62808227539062,13.010530880306991
A_98424,302.82196044921875,-141.42807006835938,16.337732901427756
A_421056,290.8149719238281,-95.4512939453125,16.8146411322445
A_115851,270.74591064453125,-69.35967254638672,16.638919471629713
A_33693,311.393310546875,-151.83872985839844,13.010530880306991
A_33700,75.8873062133789,-327.675048828125,18.13796929887577
A_67001,312.0476989746094,-151.64373779296875,14.086839785771197
A_421209,312.2701721191406,-151.4936981201172,13.010530880306991
A_473403,311.7364196777344,-151.1056365966797,13.010530880306991
A_425205,296.6449279785156,-131.1997528076172,16.142807403519953
A_473401,311.411376953125,-151.24606323242188,13.010530880306991
A_473404,243.48712158203125,86.75251770019531,15.5168578235801
A_115752,300.92626953125,-139.25827026367188,15.162751609631803
A_473400,312.38690185546875,-152.15762329101562,13.010530880306991
A_40068,312.384521484375,-151.7265167236328,13.010530880306991
A_410255,312.125732421875,-151.0443115234375,13.010530880306991
A_67516,311.896240234375,-152.96011352539062,14.484846187800239
A_473397,311.6172790527344,-151.76287841796875,13.010530880306991
A_37023,312.2935485839844,-151.38177490234375,13.010530880306991
A_395615,311.7872314453125,-151.46865844726562,13.010530880306991
A_473399,311.7857666015625,-151.20802307128906,13.010530880306991
A_115126,300.29339599609375,-138.53228759765625,17.734992504327277
A_98418,271.54620361328125,-60.37751007080078,17.708817217292502
A_114343,275.198974609375,-78.5296859741211,18.81203365357087
A_43283,312.2691650390625,-152.42196655273438,13.010530880306991
A_440619,266.5818786621094,-149.47999572753906,17.069811304106686
A_46844,315.4246826171875,-257.5613098144531,16.87475996153821
A_48159,276.1321716308594,-248.63302612304688,16.71561505554336
A_423855,312.6266784667969,-151.98683166503906,13.010530880306991
A_48915,311.54510498046875,-152.0635223388672,13.010530880306991
A_98425,312.1960754394531,-152.15255737304688,14.781572924087875
A_473398,311.81988525390625,-152.39068603515625,13.010530880306991
A_115559,311.9751281738281,-152.38665771484375,13.010530880306991
A_51161,312.15460205078125,-151.940185546875,15.847699090225849
A_51486,311.40423583984375,-151.49700927734375,13.010530880306991
A_98382,275.9571228027344,-78.47462463378906,18.673888331316476
A_415908,312.2718811035156,-152.0177459716797,13.010530880306991
A_438934,312.4701232910156,-152.29937744140625,13.010530880306991
A_473402,311.7165222167969,-152.11654663085938,13.010530880306991
A_473406,311.7417907714844,-151.7249755859375,13.010530880306991
A_56972,311.5391540527344,-151.542236328125,13.010530880306991
A_58170,293.389892578125,-111.08100128173828,19.6135333151885
A_438935,311.9271240234375,-151.7359161376953,13.010530880306991
A_68658,318.2167663574219,-201.9488525390625,17.403034562172422
A_473407,311.7956237792969,-152.1868133544922,15.117909677137703
A_58770,355.0810546875,-65.67743682861328,16.506111998180195
A_59961,312.6191101074219,-151.50502014160156,14.427258868748837
A_60368,311.29852294921875,-151.9263458251953,13.010530880306991
A_60456,311.8848876953125,-152.6636199951172,16.492469592735098
A_473408,311.9453125,-152.7781219482422,13.010530880306991
A_62395,312.01861572265625,-151.30526733398438,13.735679214364882
A_62836,318.10198974609375,-169.95498657226562,14.978796820300435
A_64520,315.51116943359375,-204.79701232910156,18.422412010956336
A_64649,315.4327392578125,-257.24798583984375,17.77806893193754
A_64967,312.01495361328125,-152.50343322753906,13.010530880306991
A_473405,311.2616271972656,-151.66217041015625,13.010530880306991
A_32994,87.74088287353516,51.07341384887695,14.119598220680578
A_34380,100.25882720947266,54.291412353515625,15.83033206920682
A_35181,103.8973388671875,48.86713790893555,12.223635079442802
A_36548,112.2092056274414,44.75364685058594,11.303283707360025
A_41493,112.36032104492188,44.01195526123047,9.749678888189676
A_42511,42.68309020996094,10.953965187072754,13.153274394648642
A_44826,109.18018341064452,47.00709533691406,10.911860453205588
A_47155,-9.806396484375,-35.76919937133789,14.729962022715913
A_68044,135.90904235839844,-9.750272750854492,14.151968972700562
A_50294,108.4753646850586,47.71474838256836,10.804580169021772
A_52170,-34.68750762939453,29.24336051940918,11.645642029427451
A_53469,112.68570709228516,-75.98383331298828,15.555657007751831
